P0;0;5.95;5.65;5.55;5.8;7.05
P1;0;6.4;5.65;5.5;5.95;6.5
P2;0;6.2;6.35;6.2;5.6;5.65
P3;0;7.1;5.9;5.8;5.3;5.9
P4;0;6.6;6.15;5.65;6.2;5.4
P5;0;6.2;6.55;5.85;5.35;6.05
P0;1;7.65;4.6;4.8;4.4;8.55
P1;1;7.9;5.75;4.6;5.6;6.15
P2;1;7.3;7.1;5.65;4.5;5.45
P3;1;8.6;6.65;4.75;5.65;4.35
P4;1;6.55;7.05;4.95;6.75;4.7
P5;1;6.1;7.7;6.35;4.8;5.05
P0;2;8.7;5.95;4.1;3.9;7.35
P1;2;8.75;6.25;4.3;5.0;5.7
P2;2;7.6;7.0;5.95;4.35;5.1
P3;2;7.5;8.35;5.15;4.0;5.0
P4;2;7.1;6.65;5.4;6.25;4.6
P5;2;6.65;8.4;5.9;3.9;5.15
P0;3;8.85;7.4;4.35;3.65;5.75
P1;3;10.55;6.55;3.15;4.75;5.0
P2;3;8.75;8.15;4.7;3.75;4.65
P3;3;7.2;9.3;4.5;3.6;5.4
P4;3;6.5;7.0;5.55;6.15;4.8
P5;3;5.6;8.9;8.0;3.65;3.85
P0;4;8.65;7.8;4.7;3.7;5.15
P1;4;11.25;6.45;3.25;5.0;4.05
P2;4;8.2;7.8;4.7;4.75;4.55
P3;4;7.45;8.6;5.0;3.85;5.1
P4;4;6.55;7.95;5.75;6.2;3.55
P5;4;6.2;9.65;6.85;3.45;3.85
P0;5;9.2;9.25;5.55;2.75;3.25
P1;5;10.9;6.8;3.35;5.5;3.45
P2;5;6.8;8.0;5.75;4.25;5.2
P3;5;6.65;9.0;5.3;3.9;5.15
P4;5;7.05;8.75;6.5;4.9;2.8
P5;5;5.8;10.55;5.9;3.7;4.05
P0;6;10.0;8.4;5.15;2.75;3.7
P1;6;12.4;5.9;3.8;3.65;4.25
P2;6;9.85;8.05;3.95;4.8;3.35
P3;6;6.6;9.0;6.0;3.5;4.9
P4;6;7.55;8.6;6.55;4.1;3.2
P5;6;6.0;11.4;4.8;3.2;4.6
P0;7;9.5;7.65;5.05;3.15;4.65
P1;7;14.1;5.95;3.35;2.75;3.85
P2;7;9.1;8.2;3.8;5.5;3.4
P3;7;6.65;8.9;5.65;3.7;5.1
P4;7;7.0;9.0;6.9;3.75;3.35
P5;7;6.3;11.7;4.35;3.05;4.6
P0;8;10.7;7.45;4.2;2.95;4.7
P1;8;13.6;7.05;3.2;2.9;3.25
P2;8;9.4;7.7;4.2;5.1;3.6
P3;8;6.9;8.75;5.75;3.9;4.7
P4;8;7.0;8.85;7.1;3.15;3.9
P5;8;6.95;11.45;4.45;3.4;3.75
P0;9;11.2;8.3;3.3;3.0;4.2
P1;9;13.65;6.15;3.95;2.5;3.75
P2;9;10.15;7.55;3.95;5.15;3.2
P3;9;7.25;8.7;6.1;3.85;4.1
P4;9;7.15;8.7;7.1;3.2;3.85
P5;9;6.9;11.85;4.85;3.45;2.95
P0;10;11.0;8.8;3.35;3.25;3.6
P1;10;13.55;6.9;3.9;2.3;3.35
P2;10;9.85;7.05;3.85;5.45;3.8
P3;10;7.4;8.5;5.75;3.8;4.55
P4;10;7.65;9.55;6.4;2.4;4.0
P5;10;7.95;10.8;4.75;3.4;3.1
P0;11;10.95;9.4;2.5;3.45;3.7
P1;11;14.25;6.7;3.9;2.1;3.05
P2;11;9.95;7.35;4.0;4.85;3.85
P3;11;8.45;7.1;6.3;3.75;4.4
P4;11;7.0;10.4;6.95;1.9;3.75
P5;11;7.4;11.6;3.9;3.85;3.25
P0;12;10.8;9.3;2.9;3.55;3.45
P1;12;14.15;6.0;4.25;2.15;3.45
